DataZone,DataZoneName,IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S01007338,Campbeltown - 06,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007339,Campbeltown - 07,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007340,Bute - 01,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007341,Bute - 02,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007342,Bute - 03,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007343,Bute - 04,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007344,Rothesay Town - 01,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007345,Rothesay Town - 02,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007346,Rothesay Town - 03,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007347,Rothesay Town - 04,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007348,Rothesay Town - 05,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007349,Rothesay Town - 06,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007350,Rothesay Town - 07,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007351,Cowal South - 01,S02001383,Cowal South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007352,Cowal South - 02,S02001383,Cowal South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007353,Cowal South - 03,S02001383,Cowal South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007354,Cowal South - 04,S02001383,Cowal South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007355,Cowal North - 01,S02001384,Cowal North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007356,Cowal North - 02,S02001384,Cowal North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007357,Cowal North - 03,S02001384,Cowal North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007358,Cowal North - 04,S02001384,Cowal North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007359,Hunter's Quay - 01,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007360,Hunter's Quay - 02,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007361,Hunter's Quay - 03,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007362,Hunter's Quay - 04,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007363,Hunter's Quay - 05,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007364,Hunter's Quay - 06,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007365,Hunter's Quay - 07,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007366,Dunoon - 01,S02001386,Dunoon,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
